t,nis,ewma,cusum,alarm,safe_mode,vo_trust,lambda_eff
4.700000000000000000e+01,5.747671554720868770e+00,1.441020086088846242e+00,8.594318633862306456e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
4.800000000000000000e+01,6.499382969493883166e-01,1.425198450306057074e+00,8.609312463557245110e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
4.900000000000000000e+01,2.396357766253291999e+00,1.444621636625001759e+00,8.798948240182573954e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
5.000000000000000000e+01,4.519379861674000520e-01,1.424767963615849897e+00,8.794142038799313355e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
5.100000000000000000e+01,2.093970297562189220e+00,1.438152010294776684e+00,8.953539068555532765e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
5.200000000000000000e+01,1.733767054606336622e-01,1.412856504198093832e+00,8.920876739101596797e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
5.300000000000000000e+01,3.056969231949614382e-02,1.385210767960521894e+00,8.873933708333547088e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
5.400000000000000000e+01,6.899900829084388842e-01,1.371306354259480331e+00,8.892932716624390821e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
5.500000000000000000e+01,2.040688982392218964e+00,1.384694006822134948e+00,9.047001614863613383e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
5.600000000000000000e+01,1.965711192347598280e+00,1.396314350532644077e+00,9.193572734098373189e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
5.700000000000000000e+01,6.470333081844098500e-02,1.369682130138359932e+00,9.150043067180217804e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
5.800000000000000000e+01,2.331311637067207954e-01,1.346951110809727181e+00,9.123356183550889398e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
5.900000000000000000e+01,7.738907402585025075e+00,1.474790236645233232e+00,9.847246923809392172e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
6.000000000000000000e+01,1.818337613992812019e-01,1.448931107140314367e+00,9.815430299949319704e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
6.100000000000000000e+01,1.054025400672545798e+00,1.441032993010958885e+00,9.870832840016574039e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
6.200000000000000000e+01,7.739239843668996865e-01,1.427690812838077639e+00,9.898225238453264296e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
6.300000000000000000e+01,4.625921229212074937e-01,1.408388839039740326e+00,9.894484450745385118e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
6.400000000000000000e+01,6.852275300328685148e-01,1.393925612859602925e+00,9.913007203748671259e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
6.500000000000000000e+01,4.178157658627337234e-01,1.374403415919665639e+00,9.904788780334943965e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
6.600000000000000000e+01,1.429253548608226509e+00,1.375500418573436745e+00,9.997714135195766971e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
6.700000000000000000e+01,6.077075348730411886e-01,1.360144560899428701e+00,1.000848488868307129e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
6.800000000000000000e+01,6.040474361324026376e+00,1.453751156907920450e+00,1.056253232481547428e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
6.900000000000000000e+01,1.992431602658533696e-01,1.428660996975078978e+00,1.053245664084205941e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
7.000000000000000000e+01,5.399925767193948234e-01,1.410887628569965191e+00,1.053645589851399933e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
7.100000000000000000e+01,1.645627917028658627e-01,1.385961131832623261e+00,1.050291217768428567e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
7.200000000000000000e+01,5.618994044731131510e-01,1.369479897285432957e+00,1.050910211813159663e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
7.300000000000000000e+01,6.797113434821890010e+00,1.478032568036162120e+00,1.113881346161378616e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
7.400000000000000000e+01,3.619667605882089245e-01,1.455711251887203073e+00,1.112501013767260645e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
7.500000000000000000e+01,3.126115508274415866e+00,1.489119337014947364e+00,1.138762168850004741e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
7.600000000000000000e+01,1.655488514630273800e+00,1.492446720567254026e+00,1.150317053996307521e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
7.700000000000000000e+01,4.630995234492339407e-01,1.471859776624893534e+00,1.149948049230799825e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
7.800000000000000000e+01,1.933904945119825358e+00,1.481100679994792113e+00,1.164287098681998032e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
7.900000000000000000e+01,7.231729513484363991e-02,1.452925012297592966e+00,1.160010271633346406e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
8.000000000000000000e+01,4.173776028389286630e-01,1.432214064108419782e+00,1.159184047661735661e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
8.100000000000000000e+01,4.476104043165209934e-01,1.412521990912581904e+00,1.158660151704900869e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
8.200000000000000000e+01,8.274877526147865758e-01,1.400821306146625922e+00,1.161935029231048730e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
8.300000000000000000e+01,2.436762307253903970e+00,1.421540126168771456e+00,1.181302652303587735e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
8.400000000000000000e+01,1.162039615744443699e+00,1.416350115960284928e+00,1.187923048461032209e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
8.500000000000000000e+01,3.860428460487215219e+00,1.465231682850823614e+00,1.221527333065904344e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
8.600000000000000000e+01,3.408864901791426594e-02,1.436608822174165523e+00,1.216868219556083517e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
8.700000000000000000e+01,1.180903887144308939e+00,1.431494723473568431e+00,1.223677258427526624e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
8.800000000000000000e+01,2.242760886387025643e+00,1.447720046731837629e+00,1.241104867291396943e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
8.900000000000000000e+01,2.634378757793949255e+00,1.471453220953079954e+00,1.262448654869336480e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
9.000000000000000000e+01,1.226278069162175743e+00,1.466549717917261964e+00,1.269711435560958250e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
9.100000000000000000e+01,6.415839234395066815e-02,1.438501891405795652e+00,1.265353019484397805e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
9.200000000000000000e+01,8.173737063143982073e-01,1.426079327703967614e+00,1.268526756547541794e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
9.300000000000000000e+01,6.355560972441480772e-01,1.410268863094771286e+00,1.269882317519983275e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
9.400000000000000000e+01,1.181759575956087494e+00,1.405698677351997494e+00,1.276699913279544205e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
9.500000000000000000e+01,3.474255215764472382e+00,1.447069808120247103e+00,1.306442465437189071e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
9.600000000000000000e+01,1.533829469494897291e+00,1.448805001347740040e+00,1.316780760132137971e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
9.700000000000000000e+01,4.764925517061546323e+00,1.515127411662016144e+00,1.359430015302753532e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
9.800000000000000000e+01,8.325858218146693357e-01,1.501476579865069105e+00,1.362755873520900138e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
9.900000000000000000e+01,3.875292923593625982e+00,1.548952906739640145e+00,1.396508802756836474e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.000000000000000000e+02,1.396208925374328391e+00,1.545898027112333928e+00,1.405470892010579860e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.010000000000000000e+02,2.926544484396255807e+00,1.573510956258012294e+00,1.429736336854542458e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.020000000000000000e+02,5.222160208682881111e-01,1.552485057550217817e+00,1.429958497063225309e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.030000000000000000e+02,1.104292207534044445e-01,1.523643940814281450e+00,1.426062789270759481e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.040000000000000000e+02,3.430887936998078258e-01,1.500032837871992042e+00,1.424493677207757685e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.050000000000000000e+02,5.053287888198872979e-01,1.480138756890950091e+00,1.424546965095956637e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.060000000000000000e+02,2.594545285775571308e-01,1.455725072324682179e+00,1.422141510381732132e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.070000000000000000e+02,2.513005413836280066e-01,1.431636581705860944e+00,1.419654515795568273e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.080000000000000000e+02,1.010261989803431071e+00,1.423209089867812249e+00,1.424757135693602663e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.090000000000000000e+02,7.339991304768304081e-01,1.409424890679992437e+00,1.427097126998370982e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.100000000000000000e+02,1.651475054116212426e+00,1.414265893948716935e+00,1.438611877539533168e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.110000000000000000e+02,6.314458604887742688e-01,1.398609493279518112e+00,1.439926336144420986e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.120000000000000000e+02,7.034929639423119774e-01,1.384707162692773830e+00,1.441961265783844226e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.130000000000000000e+02,5.172229049667027567e-01,1.367357477538252430e+00,1.442133494833511236e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.140000000000000000e+02,5.227333635116562682e+00,1.444557000689818516e+00,1.489406831184676889e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.150000000000000000e+02,3.717652061566345534e-01,1.423101164799154938e+00,1.488124483246243130e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.160000000000000000e+02,5.558594252076185072e+00,1.505811026544695563e+00,1.538710425767004892e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.170000000000000000e+02,1.468115619576139563e+00,1.505057118405324301e+00,1.548391581962766281e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.180000000000000000e+02,2.478460724144712746e+00,1.524525190520112039e+00,1.568176189204213529e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.190000000000000000e+02,5.388663093995046616e+00,1.601807948589610842e+00,1.617062820144163879e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.200000000000000000e+02,1.401699154846290041e+00,1.597805772714744332e+00,1.626079811692626720e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.210000000000000000e+02,7.341650752732888918e+00,1.712682672315107180e+00,1.694496319219955467e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.220000000000000000e+02,3.669804152719010615e-01,1.685768627174242917e+00,1.693166123372674576e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.230000000000000000e+02,2.367270488680509821e+00,1.699398664404368153e+00,1.711838828259479612e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.240000000000000000e+02,1.865975237250805385e+00,1.702730195861296814e+00,1.725498580631987693e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.250000000000000000e+02,1.176034188995902230e-01,1.671027660322062625e+00,1.721674614820983606e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.260000000000000000e+02,6.279542378783816714e-01,1.650166191873188914e+00,1.722954157199767451e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.270000000000000000e+02,2.063440495126226626e+00,1.658431677938249527e+00,1.738588562151029748e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.280000000000000000e+02,4.908505414427685842e+00,1.723433152668038204e+00,1.782673616295306545e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.290000000000000000e+02,2.770896562677704011e+00,1.744382420868231476e+00,1.805382581922083602e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.300000000000000000e+02,1.957475558481105882e+00,1.748644283620488959e+00,1.819957337506894532e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.310000000000000000e+02,1.859295522461596351e+00,1.750857308397311130e+00,1.833550292731510467e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.320000000000000000e+02,2.480364326843185196e+00,1.765447448766228611e+00,1.853353935999942337e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.330000000000000000e+02,6.128495361452718448e+00,1.852708407019958425e+00,1.909638889614469406e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.340000000000000000e+02,8.171321533435244033e-01,1.831996881946429623e+00,1.912810211147904624e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.350000000000000000e+02,2.763650894680734105e+00,1.850629962201115752e+00,1.935446720094711850e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.360000000000000000e+02,4.112328615363590734e-01,1.821842020187820488e+00,1.934559048710075331e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.370000000000000000e+02,2.300455319601911963e+00,1.831414286176102246e+00,1.952563601906094561e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.380000000000000000e+02,7.693222711293045135e-01,1.810172445875166236e+00,1.955256824617387679e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.390000000000000000e+02,3.993372153807757563e+00,1.853836440033818089e+00,1.990190546155465370e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.400000000000000000e+02,6.630673707432122477e+00,1.949373185381784168e+00,2.051497283229786603e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.410000000000000000e+02,2.771100532931675686e-01,1.915927922740011891e+00,2.049268383762718315e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.420000000000000000e+02,2.224075818806655058e-01,1.882057515922824997e+00,2.046492459581525054e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.430000000000000000e+02,3.758059338411798844e-01,1.851932484281191948e+00,2.045250518919936837e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.440000000000000000e+02,1.896150075544425384e+00,1.852816836106456533e+00,2.059212019675381100e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
